"u,N,18,0","v,N,18,0","name,C,80"
1264281721,3347239079,Calle Paucarpata
1264281868,5391133823,Calle Alberto Guillen
1264281868,4742379982,
1264282023,4106830786,
1264282023,4106830786,Bogota
1264282023,4444938241,Pasaje Otero
1264282115,1264359104,Calle la Merced
1264282115,1264318750,Calle la Merced
1264282115,4324703397,Calle 28 de Julio
1264282362,5123160480,Calle Javier Delgado
1264282362,1264292334,Calle Javier Delgado
1264282362,5479086518,Calle Malaga Grenet
1264282362,5479085347,Calle Malaga Grenet
1264282455,1264339844,
1264282455,4557425637,
1264282455,4978432991,Boulevard de Lambramani
1264282455,1264323207,
1264282738,1264283681,Calle 2 de Mayo
1264282738,4230614622,Calle 2 de Mayo
1264282738,1264363733,Avenida Independencia
1264282738,9675005083,Avenida Independencia
1264282832,4209982512,Las Malvinas
1264282832,5424521141,Calle Los Arrayanes
1264282832,5515031808,Calle Los Arrayanes
1264282930,1264292768,Calle Flora Tristan
1264282930,1264338608,Calle Jose Carlos Mariategui
1264282930,4066990035,Calle Flora Tristan
1264283681,5394919458,Ramon Castilla
1264283681,1264290505,Ramon Castilla
1264283681,5664848459,Calle 2 de Mayo
1264284197,5200744116,
1264284197,11016609790,
1264284392,1861553896,Avenida Dolores
1264284392,11019063487,Sebastian Barranca
1264284698,5393862395,Calle Issac Recabarren
1264284698,1264337873,Calle Issac Recabarren
1264284707,11009101054,
1264284707,1817244796,Avenida Independencia
1264284707,4499301840,Avenida Independencia
1264284746,5391148530,Fransisco Mostajo
1264284746,5391148528,Fransisco Mostajo
1264284746,5391147717,
1264284856,1264327387,Calle Simon Bolivar
1264284856,1264309103,Calle Simon Bolivar
1264284932,1264309265,Calle Paucarpata
1264284932,1264291622,Calle Paucarpata
1264285300,5465620985,
1264285300,5213418016,
1264285668,1264324712,Calle Cesar Vallejo
1264285668,1264366373,Avenida Independencia
1264285668,5467926993,Avenida Independencia
1264285671,4372087979,Avenida San Martin
1264285671,1264310965,Calle 28 de Julio
1264285671,5381354369,Avenida San Martin
1264285671,4372087980,Avenida Luna Pizarro
1264285733,1264313779,Urbanizacion Cabana Maria Manzana J
1264285733,1264330616,Urbanizacion Cabana Maria Manzana J
1264285733,1264342953,Avenida Dolores
1264285733,11016354606,Avenida Dolores
1264285740,5375593661,
1264285740,1264336743,Calle Juan de Dios Salazar
1264285740,5406208486,Calle Juan de Dios Salazar
1264285910,3743488257,Ovalo Venezuela
1264285910,2363115241,Ovalo Venezuela
1264285910,11019063240,
1264285997,5376760845,Avenida Jose Abelardo Quinones
1264285997,5123160473,Avenida Jose Abelardo Quinones
1264285997,5123160474,
1264286078,11100229820,Calle San Juan de Dios
1264286078,10885702026,
1264286078,1264317470,Calle San Juan de Dios
1264286415,5379874278,Avenida Daniel Alcides Carrion
1264286415,4066882694,Calle San Rafael
1264286415,4067034576,Avenida Daniel Alcides Carrion
